vivienda,estado_civil,hijos,trabajo,ingresos,gastos_comunes,pago_coche,gastos_otros,ahorros,target
303294,0,0,4,5468,1094,337,221,61055,1
555296,2,4,7,7011,1262,11,393,40803,1
446206,1,1,8,6744,1079,200,576,40679,1
283936,2,3,6,6806,1361,320,437,40751,1
519377,2,3,5,6194,991,339,624,55269,0
657229,1,1,6,5656,905,259,543,57625,0
601935,1,2,6,5730,860,338,295,53734,0
359875,1,4,7,5717,1143,141,214,55043,1
427780,1,2,5,7138,1356,27,209,64027,1
636597,2,0,3,6762,1285,338,215,61728,0
328265,2,1,5,5813,756,108,500,58055,1
345689,1,2,5,5415,1083,84,754,68327,1
559220,2,3,5,5572,1114,87,727,56337,0
311855,1,3,5,6412,769,137,510,47203,1
279795,1,4,6,6503,1301,295,716,55798,1
449413,1,2,5,5558,889,168,679,61867,1
278315,1,2,8,7063,918,293,364,63395,1
455865,0,0,4,6222,809,270,810,41483,0
588004,0,0,0,6325,1139,102,754,68527,0
431159,1,0,0,6264,1065,197,644,55703,0
539242,1,0,0,5593,839,121,416,44487,0
397838,0,0,0,5514,772,147,672,67815,0
552796,0,0,1,6347,1016,13,268,41468,0
455751,1,2,7,6058,969,289,531,50014,1
300240,1,2,7,7877,1339,332,617,56941,1
559906,2,2,5,5848,819,168,652,69366,0
445679,0,0,3,7758,1086,70,230,51489,1
333566,1,4,7,6384,958,346,549,40804,1
303736,1,0,4,7777,1089,213,564,43472,1
487697,2,1,8,7505,1501,302,364,38328,1
643683,1,0,4,5791,811,208,417,40166,0
655399,0,0,1,5646,1016,215,747,69276,0
625528,2,4,6,6495,909,341,788,62320,0
364105,1,3,8,5264,1053,17,691,57408,1
667865,2,0,2,7033,1196,294,216,61329,0
561852,0,0,4,5502,715,299,705,48264,0
662258,0,0,1,6935,971,99,425,65541,0
242562,0,0,3,3586,932,81,382,35361,0
244767,2,1,5,4883,1025,25,444,27294,1
181736,0,0,0,4885,928,8,670,16671,0
391533,0,0,1,4403,1497,18,384,37034,0
365493,0,0,4,3026,787,21,397,30449,0
358242,2,0,1,4714,1414,403,557,37411,0
360791,1,4,6,2974,744,346,746,15982,0
201278,2,3,5,2550,510,73,434,15890,0
313542,0,0,0,3504,1051,447,351,29890,0
234991,2,3,7,2024,486,398,494,14569,0
378697,1,3,5,3084,678,432,448,17211,0
213521,2,3,8,3234,809,368,441,22523,0
328575,2,2,6,4749,1377,355,304,34841,0
